Wall time,Step,Value
1676907089.4253592,0,-340.4110412597656
1676907479.8720536,7327,-216.83441162109375
1676907889.787208,15863,-453.994873046875
1676908341.693854,25644,-307.9208984375
1676908782.0401292,35521,-454.528564453125
1676909316.9565482,45523,-397.5304260253906
1676909764.0925777,54952,-481.75994873046875
1676910307.5198097,65134,-391.054931640625
1676910757.3828185,74299,-399.4811706542969
1676911290.5314584,83583,-379.6229248046875
1676911740.434224,92347,-311.1634826660156
1676912292.7958572,101536,-297.41583251953125
1676912761.5546367,110446,-278.9839782714844
1676913313.8930893,119477,-70.98936462402344
1676914449.138537,135968,-22.749279022216797
1676915648.505151,157773,-108.21965789794922
1676917146.3119714,191897,-75.29768371582031
1676918780.7231846,237738,-204.8111114501953
1676920446.2737775,288776,-204.05831909179688
1676921979.2147145,328684,-167.8195037841797
1676923593.2216828,372922,-90.95857238769531
1676925191.225485,414081,-155.3494873046875
1676926800.7325482,457151,-94.45677947998047
1676928361.136086,497351,-123.30533599853516
1676929873.4987612,542776,-253.14630126953125
1676931540.2139513,594006,-147.72547912597656
1676933145.469677,640430,-39.65717697143555
1676934814.9009576,694084,65.66606140136719
1676936459.0706718,744623,-96.00762939453125
1676938011.5216107,789409,-88.75227355957031
1676939559.2700086,832318,-96.83729553222656
1676941152.745538,876658,-78.38478088378906
1676942791.2766395,924659,-137.36802673339844
1676944435.5340178,976331,74.0931167602539
1676946130.370128,1034087,77.7524185180664
1676947770.089515,1089729,-153.39407348632812
1676949468.6733377,1144962,33.74626922607422
1676951136.1240997,1203657,-218.5445098876953
1676952777.437969,1255234,-97.4256820678711
1676954434.6552057,1305483,42.466712951660156
1676955992.5279908,1357071,-44.95008087158203
1676957613.8869107,1402461,77.14326477050781
1676959256.3193402,1453159,-40.637351989746094
1676960882.2553399,1500511,-44.54479217529297
1676962543.0471818,1555818,-22.460895538330078
1676964163.9401958,1606383,-245.7799072265625
1676965817.2263381,1657251,-208.59921264648438
1676967469.5219078,1707207,-128.6579132080078
1676969154.773365,1759796,-81.39008331298828
1676970806.5643444,1811525,-56.89735794067383
1676972326.3551702,1855767,-121.90608978271484
1676974025.8579786,1909565,51.059303283691406
1676975709.3737915,1967656,-108.4622802734375
1676977427.5899153,2026818,-42.51824188232422
1676979169.872708,2087460,-75.53128814697266
1676980919.2185957,2149560,47.37363052368164
1676982608.719086,2203752,-235.20127868652344
1676984337.0609944,2265156,-50.94482421875
1676985960.570387,2318822,-34.114131927490234
1676987533.476304,2362331,27.39272689819336
1676989218.007612,2414665,40.04861068725586
1676990897.901529,2467610,-19.145606994628906
1676992533.250531,2517633,-156.3303680419922
1676994193.305147,2566227,68.57642364501953
1676995783.3701422,2609302,22.051485061645508
1676997137.6686459,2648483,194.33775329589844
1676998686.441288,2695982,57.18457794189453
1677000196.174878,2736849,-44.02709197998047
1677001686.6682498,2777771,87.1113052368164
1677003198.7201955,2819295,226.58474731445312
1677004812.2866342,2865125,171.1137237548828
1677006271.84455,2903877,24.310274124145508
1677007827.0330043,2947188,220.40916442871094
1677009278.5351615,2988160,134.5022430419922
1677010698.915768,3024311,63.84111022949219
1677012198.2818313,3068222,218.3209991455078
1677013743.5283742,3111647,106.9367904663086
1677015331.0504348,3155896,-14.841117858886719
1677016869.0053787,3206273,142.3659210205078
1677018286.7799535,3242733,227.08700561523438
1677019770.396879,3282628,217.40728759765625
1677021400.4260986,3333575,174.62901306152344
1677022976.1139119,3376318,48.08822250366211
1677024433.5981092,3416534,209.92230224609375
1677026007.36255,3461277,82.70502471923828
1677027542.5821245,3507825,219.14463806152344
1677028979.7577503,3546392,225.3727264404297
1677030572.3232217,3595375,1.7826281785964966
1677031954.1166635,3631082,50.75129699707031
1677033438.9679039,3671200,195.48182678222656
1677034998.0843937,3712014,150.64955139160156
1677036583.1704712,3761422,150.71902465820312
1677038227.1111054,3816949,112.4574966430664
1677039697.295601,3854259,204.06686401367188
1677041283.992301,3897112,135.39271545410156
1677042955.4901013,3950956,129.86932373046875
1677044613.455809,4001781,80.84243774414062
1677046143.9354916,4046806,-7.55240535736084
1677047781.6313956,4092973,-78.94635009765625
1677049444.0832517,4150025,-213.8625030517578
1677051154.6828597,4207496,-127.39815521240234
1677052822.3069031,4259915,-47.44183349609375
1677054482.242374,4310373,62.577693939208984
1677056134.572873,4361933,-143.51292419433594
1677057710.901361,4407436,-73.6083755493164
1677059326.5351465,4455447,5.990469932556152
1677060937.4729395,4502253,-35.6837272644043
1677062566.824525,4552436,-137.3956298828125
1677064130.420212,4594470,132.82571411132812
1677065700.7338562,4636532,126.61995697021484
1677067174.7360919,4673057,172.59246826171875
1677068663.210143,4710999,153.32827758789062
1677070142.3192492,4750003,114.03795623779297
1677071633.6571581,4790043,32.17020797729492
1677073217.6067905,4833151,131.66415405273438
1677074796.6588807,4877215,137.87513732910156
1677076289.8962436,4913888,101.85779571533203
1677077845.114285,4954731,142.00987243652344
