Wall time,Step,Value
1677074853.6804643,0,96.66666412353516
1677079860.288404,10731,246.6666717529297
1677085053.4538498,21619,193.3333282470703
1677090443.3395252,32621,333.3333435058594
1677095947.37957,44057,370.0
1677101672.987164,56135,340.0
1677106865.657596,67521,450.0
1677112246.5665412,79029,503.3333435058594
1677117790.7186606,90617,493.3333435058594
1677123409.5830603,102699,573.3333129882812
1677129138.59266,114853,516.6666870117188
1677135090.4270067,125817,420.0
1677141158.842238,137491,316.6666564941406
1677147356.2680783,149697,396.6666564941406
1677153661.3164914,162123,433.3333435058594
1677159762.706591,173621,436.6666564941406
1677165886.114545,186879,383.3333435058594
1677172009.4233427,198695,676.6666870117188
1677177926.3557174,212257,633.3333129882812
1677183676.1489766,225293,486.6666564941406
1677189454.064534,237863,486.6666564941406
1677195233.2973897,250553,376.6666564941406
1677201006.7601829,262871,310.0
1677206696.6438787,275259,346.6666564941406
1677212480.3080616,288805,476.6666564941406
1677218339.5176487,302121,333.3333435058594
1677224539.337397,315551,400.0
1677230712.76305,328527,540.0
1677236878.860675,341551,530.0
1677243023.6191983,354907,680.0
1677249131.2762463,368405,403.3333435058594
1677255230.1726663,381129,430.0
1677261416.509385,395279,936.6666870117188
1677267521.6694174,408521,453.3333435058594
1677273668.55207,422787,793.3333129882812
1677279777.1386788,435727,453.3333435058594
1677285774.3253095,449483,436.6666564941406
1677291905.62886,463803,390.0
1677297970.6590922,477963,536.6666870117188
1677304058.6789277,491757,480.0
1677310188.5308404,504995,1303.3333740234375
1677316256.6613317,517971,716.6666870117188
