Wall time,Step,Value
1677074676.8209863,0,100.0
1677081013.0256817,7283,116.66666412353516
1677087592.6836767,14761,153.3333282470703
1677094295.3212898,22985,150.0
1677100870.3256993,31443,150.0
1677107435.763111,39941,180.0
1677114086.0426114,49581,426.6666564941406
1677120826.807457,58817,343.3333435058594
1677127605.8740568,69107,713.3333129882812
1677134349.6190042,80739,410.0
1677141081.850924,94103,620.0
1677147747.941197,107435,436.6666564941406
1677154629.7336035,121487,586.6666870117188
1677161504.3645265,135391,526.6666870117188
1677168386.4735413,149749,650.0
1677175287.3191438,164477,786.6666870117188
1677182132.9120317,179017,486.6666564941406
1677188875.1763103,193205,1006.6666870117188
1677195479.641874,208839,600.0
1677202004.403726,223155,626.6666870117188
1677208592.4102266,237277,1080.0
1677215505.5372806,253347,983.3333129882812
1677222448.9245832,268179,840.0
1677229396.3832436,283235,736.6666870117188
1677236280.9695284,298049,550.0
1677243211.536212,313891,1060.0
1677250150.0430467,329615,1106.6666259765625
1677257120.7806625,346305,946.6666870117188
1677264058.787963,362767,663.3333129882812
1677271053.8209457,379339,1000.0
1677278013.3851476,394521,600.0
1677284980.813087,411337,1200.0
1677291947.353349,428581,880.0
1677298898.3423417,444889,850.0
1677305851.9650798,460393,1440.0
1677312820.4012551,476917,820.0
