Wall time,Step,Value
1677074729.775101,0,130.0
1677080663.7489383,7557,183.3333282470703
1677086652.4483852,15673,486.6666564941406
1677092463.8351405,23933,103.33333587646484
1677098386.868375,31949,180.0
1677104349.062027,39991,626.6666870117188
1677110469.261258,48651,136.6666717529297
1677116363.9142776,56713,163.3333282470703
1677122125.4072914,65375,173.3333282470703
1677128134.2381842,74109,243.3333282470703
1677134468.1876028,83653,460.0
1677140678.581217,93915,376.6666564941406
1677146975.234177,104583,476.6666564941406
1677153324.6911998,115595,796.6666870117188
1677159745.07543,128231,380.0
1677166184.9346168,141463,800.0
1677172639.6252325,155267,636.6666870117188
1677179118.6113133,169793,706.6666870117188
1677185554.44481,184851,726.6666870117188
1677192033.8009508,199321,800.0
1677198521.4655156,214599,746.6666870117188
1677204902.2347884,228315,1003.3333129882812
1677211268.6592362,241849,706.6666870117188
1677217553.0069783,255805,783.3333129882812
1677223862.78753,270631,563.3333129882812
1677230173.2314484,285667,530.0
1677236608.994197,300837,826.6666870117188
1677242959.7674901,315435,913.3333129882812
1677249157.4374137,330235,1180.0
1677255401.4956129,344475,930.0
1677261282.2599134,358757,713.3333129882812
1677267176.842305,372811,763.3333129882812
1677272999.1055226,387147,936.6666870117188
1677278916.4728954,401379,1386.6666259765625
1677284870.013187,415347,900.0
1677290764.7294881,429229,483.3333435058594
1677296509.1335204,442965,760.0
1677302220.5885034,457093,893.3333129882812
1677307826.636165,471325,603.3333129882812
1677313415.0366786,485679,520.0
