Wall time,Step,Value
1677074793.178309,0,133.3333282470703
1677079872.6266108,8107,140.0
1677085182.4285183,16583,133.3333282470703
1677090611.6711683,25073,136.6666717529297
1677096154.6267192,33169,120.0
1677101662.8399723,41875,386.6666564941406
1677107024.6415954,51735,130.0
1677112478.8195386,61273,113.33333587646484
1677118103.917745,71949,296.6666564941406
1677123434.574167,82633,193.3333282470703
1677128805.9988663,92697,263.3333435058594
1677134351.1281607,102689,273.3333435058594
1677139848.0324767,114497,193.3333282470703
1677145169.7505674,124985,250.0
1677150717.8636844,137361,423.3333435058594
1677156234.482061,149695,413.3333435058594
1677161835.0134883,162457,466.6666564941406
1677167412.134321,174623,333.3333435058594
1677173034.3983238,187567,380.0
1677178625.3724494,200119,320.0
1677184266.6189418,213171,373.3333435058594
1677189821.9943657,224613,330.0
1677195365.9633746,236487,413.3333435058594
1677201042.651542,249535,346.6666564941406
1677206991.2013388,263215,790.0
1677213168.3311937,277071,536.6666870117188
1677219232.0550244,290603,1530.0
1677225223.01342,304373,513.3333129882812
1677231228.05505,317673,580.0
1677237261.4298763,331519,1640.0
1677243262.398452,346039,610.0
1677249311.787379,360575,450.0
1677255333.7079046,374295,513.3333129882812
1677261433.5313804,388753,640.0
1677267574.433472,403173,473.3333435058594
1677273593.1474235,417579,550.0
1677279751.6973152,433283,766.6666870117188
1677285862.5478702,449863,733.3333129882812
1677291987.6431472,465823,636.6666870117188
1677297894.4103994,482393,1000.0
1677303906.295918,497411,866.6666870117188
1677309885.0034084,512455,710.0
1677315877.4584155,526725,660.0
