Wall time,Step,Value
1677903539.2155492,0,233.3333282470703
1677905378.3383694,8042,273.3333435058594
1677907188.491844,15490,203.3333282470703
1677909047.3380048,23254,313.3333435058594
1677910903.7892869,30938,440.0
1677912711.273122,38166,273.3333435058594
1677914528.3426628,45402,290.0
1677916372.1970992,53000,293.3333435058594
1677918258.9795232,60954,226.6666717529297
1677920181.5661676,69100,360.0
1677922096.8742106,76920,910.0
1677924002.1399925,85194,243.3333282470703
1677925962.5286143,93300,676.6666870117188
1677927944.1067696,102066,303.3333435058594
1677929936.6234465,110484,436.6666564941406
1677931870.7522886,118874,340.0
1677933871.6266904,128310,383.3333435058594
1677935860.4755933,137286,356.6666564941406
1677937841.7665915,145656,446.6666564941406
1677939872.5970569,155404,413.3333435058594
1677941919.5764952,164892,986.6666870117188
1677943946.237949,173980,716.6666870117188
1677945981.294875,183368,1343.3333740234375
1677947974.2923892,192620,400.0
1677950066.8640623,203730,636.6666870117188
1677952065.1943276,212964,480.0
1677954171.9688454,223446,1606.6666259765625
1677956325.9572556,235408,773.3333129882812
1677958454.3167508,246918,853.3333129882812
1677960575.5863488,258858,770.0
1677962681.250888,269884,890.0
1677964785.7169144,282036,603.3333129882812
1677967006.245561,295058,1380.0
1677969169.0514555,307332,673.3333129882812
1677971348.8477256,319920,600.0
1677973599.8749874,334164,933.3333129882812
1677975775.038859,347768,600.0
1677978000.0665812,362882,746.6666870117188
1677980213.4450173,377220,1340.0
1677982349.1255019,390528,843.3333129882812
1677984579.245776,404626,646.6666870117188
1677986846.5042527,419748,730.0
1677989120.9903555,435268,1046.6666259765625
