Wall time,Step,Value
1677903342.6905248,0,173.3333282470703
1677905627.8636098,7530,430.0
1677907935.276094,15036,223.3333282470703
1677910228.9922202,22580,256.6666564941406
1677912571.3034432,30364,350.0
1677914855.5754533,37276,263.3333435058594
1677917024.099105,44866,300.0
1677918941.7759328,52460,303.3333435058594
1677920887.5250275,60540,323.3333435058594
1677922959.6806073,68228,686.6666870117188
1677925260.7050097,76212,306.6666564941406
1677927510.2988288,84376,373.3333435058594
1677929842.2768545,93088,376.6666564941406
1677932209.5072381,101922,333.3333435058594
1677934578.1542754,109842,396.6666564941406
1677937025.8511097,118088,563.3333129882812
1677939495.9883952,126276,476.6666564941406
1677941973.6364663,134538,456.6666564941406
1677944527.6906643,144816,673.3333129882812
1677947020.1410089,152834,686.6666870117188
1677949591.0943167,162586,366.6666564941406
1677952216.6997225,173632,880.0
1677954856.6608622,184818,550.0
1677957476.254038,195948,1753.3333740234375
1677960119.5297441,208426,496.6666564941406
1677962831.9158137,221690,833.3333129882812
1677965539.54013,234942,986.6666870117188
1677968255.0943758,248178,813.3333129882812
1677970996.8703363,262188,903.3333129882812
1677973735.4478862,275618,653.3333129882812
1677976557.444136,289170,1470.0
1677979473.4915218,303630,833.3333129882812
1677982391.0972905,316932,683.3333129882812
1677985290.5388522,330356,1470.0
1677988217.6155705,344110,700.0
1677991175.1561534,357746,1083.3333740234375
1677994150.4435558,372330,1206.6666259765625
1677997124.6486118,386382,1220.0
1678000111.0275774,400468,1346.6666259765625
1678003014.9318404,415106,1276.6666259765625
1678005817.8693147,430406,1713.3333740234375
1678008710.942007,446020,1530.0
