Wall time,Step,Value
1678075252.3762693,2778,243.3333282470703
1678076014.8953319,6582,330.0
1678076739.5886319,9818,380.0
1678077449.4373438,12636,333.3333435058594
1678078198.7317507,15808,686.6666870117188
1678078943.6357384,18928,426.6666564941406
1678079700.4572372,22266,480.0
1678080409.4966576,25264,396.6666564941406
1678081178.062178,28720,446.6666564941406
1678081912.3102655,31704,500.0
1678082656.5046868,35038,320.0
1678083414.9503465,38828,440.0
1678084190.2219145,42532,363.3333435058594
1678084958.8804018,45980,546.6666870117188
1678085752.2135596,49302,996.6666870117188
1678086484.3780277,52494,380.0
1678087228.8755484,55884,630.0
1678087987.2226226,59936,470.0
1678088761.3944829,63802,526.6666870117188
1678089501.2034647,67134,473.3333435058594
1678090254.2636552,70732,490.0
1678091032.724812,74560,513.3333129882812
1678091847.6206682,79310,580.0
1678092635.1787329,83878,596.6666870117188
1678093469.1540062,87436,1153.3333740234375
1678094260.9273057,91668,786.6666870117188
1678095322.8996716,96480,663.3333129882812
1678096157.6388597,101796,830.0
1678096931.4706903,106194,326.6666564941406
1678097701.5963757,109972,653.3333129882812
1678098512.591868,115000,723.3333129882812
1678099366.4310353,120782,946.6666870117188
1678100194.4896414,125648,733.3333129882812
1678100995.6219532,129992,1310.0
1678101777.3221796,134908,560.0
1678102608.4156365,139882,513.3333129882812
1678103412.19536,145144,773.3333129882812
1678104246.502854,150988,1133.3333740234375
1678105034.8952663,155818,713.3333129882812
1678105853.9285016,160952,656.6666870117188
1678106647.4313903,165676,693.3333129882812
1678107445.7764075,170844,560.0
1678108272.878934,176662,480.0
1678109081.1525488,181328,786.6666870117188
1678109913.2589922,186928,736.6666870117188
1678110752.6700494,192892,643.3333129882812
1678111572.0139,198572,646.6666870117188
1678112396.7975533,204062,756.6666870117188
1678113284.8540108,210318,970.0
1678114121.5847673,216326,826.6666870117188
1678114961.7423089,222320,1156.6666259765625
1678115769.0328472,228048,1083.3333740234375
1678116639.2058396,233898,803.3333129882812
1678117464.2797391,239692,976.6666870117188
1678118331.9332535,246006,1880.0
1678119187.5958493,252208,803.3333129882812
1678120027.471471,258048,1266.6666259765625
1678120870.4907637,263636,980.0
1678121704.7256975,269258,883.3333129882812
1678122545.4630442,274376,1280.0
1678123380.037307,280228,733.3333129882812
1678124221.0450864,286282,690.0
1678125088.5013509,292372,1156.6666259765625
1678125930.0686107,298688,726.6666870117188
1678126778.9168212,304954,906.6666870117188
1678127642.9574769,311118,830.0
1678128521.0856607,317346,1156.6666259765625
1678129349.178355,323008,873.3333129882812
1678130212.505392,329104,820.0
1678131073.0982697,334780,1110.0
1678131929.4201055,340986,880.0
1678132817.0892165,347174,1100.0
1678133645.6053777,353134,913.3333129882812
1678134494.7856023,358396,863.3333129882812
1678135310.1055436,363974,1256.6666259765625
1678136157.776519,369602,1280.0
1678137009.0821579,375190,1360.0
1678137847.5613003,380686,1030.0
1678138679.7902224,385894,896.6666870117188
1678139558.1493542,391738,1330.0
1678140431.8393831,397754,1606.6666259765625
1678141303.421782,403118,1093.3333740234375
1678142166.2143407,408558,1040.0
1678143011.0545602,414246,813.3333129882812
1678143889.1423774,419528,1783.3333740234375
1678144820.4966395,425282,1790.0
1678145669.1908276,430718,1096.6666259765625
1678146558.8353913,436362,1310.0
1678147498.841576,442310,1170.0
1678148400.5980709,448440,1086.6666259765625
1678149263.8997364,454444,1133.3333740234375
1678150128.8060122,460606,1043.3333740234375
1678151010.2495737,466134,1516.6666259765625
1678151931.6918688,472300,1013.3333129882812
1678152805.3717895,477928,1096.6666259765625
1678153706.8796918,483688,1036.6666259765625
1678154579.5460725,489248,1173.3333740234375
1678155438.6626127,495078,953.3333129882812
1678156323.1878474,501238,1113.3333740234375
1678157183.5385346,507020,1043.3333740234375
1678158046.0596032,513390,1213.3333740234375
1678158928.232756,519620,1436.6666259765625
1678159804.010523,525292,1083.3333740234375
1678160692.0027206,531858,960.0
1678161567.2325046,537688,1046.6666259765625
1678162449.7045271,543558,923.3333129882812
1678163299.109643,549126,630.0
1678164162.2753315,554554,943.3333129882812
1678165085.2059834,560178,1210.0
1678165950.3597982,565468,1446.6666259765625
1678166842.817445,570990,1430.0
1678167735.265749,577158,1213.3333740234375
1678168657.0278504,584254,1213.3333740234375
1678169515.8781056,590044,1013.3333129882812
1678170387.452022,596810,966.6666870117188
1678171243.530526,602438,823.3333129882812
1678172098.3093953,608688,976.6666870117188
1678172944.9507651,614488,900.0
1678173778.7021012,620100,1350.0
1678174653.347268,626560,1203.3333740234375
