Wall time,Step,Value
1677904529.2669291,0,276.6666564941406
1677906376.7734447,7928,370.0
1677908256.3316603,16080,260.0
1677910112.2432866,23984,230.0
1677912081.5240707,32014,393.3333435058594
1677914054.5876408,40144,330.0
1677916013.3478465,47942,303.3333435058594
1677918060.726401,56510,530.0
1677920014.038187,63946,346.6666564941406
1677922052.6658673,72646,286.6666564941406
1677924138.9567397,81778,306.6666564941406
1677926258.6555512,91658,396.6666564941406
1677928281.9749818,99888,443.3333435058594
1677930299.2120712,107870,533.3333129882812
1677932368.2957208,117066,356.6666564941406
1677934537.0664399,127080,410.0
1677936606.560147,136150,360.0
1677938625.904322,146586,310.0
1677940594.7370784,155480,323.3333435058594
1677942550.4452894,163986,280.0
1677944632.7787397,175018,336.6666564941406
1677946686.8073428,185356,1163.3333740234375
1677948726.1175194,195798,316.6666564941406
1677950763.1355672,205728,523.3333129882812
1677952805.0867968,214952,516.6666870117188
1677954858.7896147,225736,393.3333435058594
1677956944.5035028,235726,413.3333435058594
1677959029.3614068,245720,976.6666870117188
1677961085.1320524,255864,580.0
1677963187.166633,267036,543.3333129882812
1677965291.146146,278534,603.3333129882812
1677967380.2068608,288982,516.6666870117188
1677969440.579433,299562,573.3333129882812
1677971537.173344,309954,513.3333129882812
1677973693.3151398,321884,780.0
1677975793.7596507,333320,353.3333435058594
1677977904.852438,345026,696.6666870117188
1677979993.778625,355548,506.6666564941406
1677982082.5601435,366312,540.0
1677984192.6202614,377526,686.6666870117188
1677986293.3954005,388954,633.3333129882812
1677988424.2939374,400174,626.6666870117188
1677990567.7770076,410978,590.0
1677992702.0531275,421886,993.3333129882812
1677994815.087172,432106,663.3333129882812
